Date : 2025-01-07 11:07:53
Directory : c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\Programacion
Total : 1056 files,  469073 codes, 10318 comments, 13182 blanks, all 492573 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Zip                |         25 |    427,392 |          0 |      2,675 |    430,067 |
| Java               |        647 |     18,880 |      7,967 |      7,701 |     34,548 |
| JSON               |          6 |     10,519 |          0 |          2 |     10,521 |
| CSS                |         77 |      4,372 |      1,152 |        942 |      6,466 |
| HTML               |         94 |      4,076 |        169 |        613 |      4,858 |
| JavaScript         |         93 |      1,933 |        671 |        664 |      3,268 |
| SCSS               |         42 |      1,156 |        290 |        276 |      1,722 |
| PHP                |         41 |        406 |         57 |        263 |        726 |
| XML                |         12 |        146 |          0 |         14 |        160 |
| MS SQL             |          2 |         90 |         10 |         11 |        111 |
| Ini                |         13 |         75 |          0 |         13 |         88 |
| JSON with Comments |          1 |         14 |          0 |          0 |         14 |
| Markdown           |          1 |         12 |          0 |          6 |         18 |
| log                |          1 |          2 |          0 |          1 |          3 |
| Properties         |          1 |          0 |          2 |          1 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                                                                           |      1,056 |    469,073 |     10,318 |     13,182 |    492,573 |
| 11_Java                                                                                                                                                                                                                                                     |        678 |     19,405 |      7,969 |      7,727 |     35,101 |
| 11_Java\src                                                                                                                                                                                                                                                 |         33 |        808 |        317 |        198 |      1,323 |
| 11_Java\src\main                                                                                                                                                                                                                                            |         33 |        808 |        317 |        198 |      1,323 |
| 11_Java\src\main\java                                                                                                                                                                                                                                       |         33 |        808 |        317 |        198 |      1,323 |
| 11_Java\src\main\java\Ejemplos                                                                                                                                                                                                                              |          1 |         23 |          9 |          2 |         34 |
| 11_Java\src\main\java\PDF1_condicionales                                                                                                                                                                                                                    |          5 |        115 |         70 |         36 |        221 |
| 11_Java\src\main\java\PDF2_bucles                                                                                                                                                                                                                           |          5 |        105 |         45 |         26 |        176 |
| 11_Java\src\main\java\PDF3_bucles_y_condicionales                                                                                                                                                                                                           |          3 |         99 |         36 |         24 |        159 |
| 11_Java\src\main\java\PDF4_Estructura_de_Condicionales                                                                                                                                                                                                      |         19 |        466 |        157 |        110 |        733 |
| 11_Java\workspace DropBoxClase2017                                                                                                                                                                                                                          |        645 |     18,597 |      7,652 |      7,529 |     33,778 |
| 11_Java\workspace DropBoxClase2017\.metadata                                                                                                                                                                                                                |         15 |        142 |          2 |         17 |        161 |
| 11_Java\workspace DropBoxClase2017\.metadata (Files)                                                                                                                                                                                                        |          1 |          3 |          0 |          1 |          4 |
| 11_Java\workspace DropBoxClase2017\.metadata\.mylyn                                                                                                                                                                                                         |          1 |          4 |          0 |          0 |          4 |
| 11_Java\workspace DropBoxClase2017\.metadata\.plugins                                                                                                                                                                                                       |         13 |        135 |          2 |         16 |        153 |
| 11_Java\workspace DropBoxClase2017\.metadata\.plugins\org.eclipse.debug.ui                                                                                                                                                                                  |          1 |          8 |          0 |          1 |          9 |
| 11_Java\workspace DropBoxClase2017\.metadata\.plugins\org.eclipse.jdt.launching                                                                                                                                                                             |          2 |         20 |          0 |          2 |         22 |
| 11_Java\workspace DropBoxClase2017\.metadata\.plugins\org.eclipse.jdt.ui                                                                                                                                                                                    |          3 |         13 |          0 |          3 |         16 |
